,vio
0,-4
1,-4
2,-4
3,-2
4,-2
5,-2
6,-2
7,-2
8,-2
9,-2
10,-4
11,-4
12,-4
13,-4
14,-4
15,-4
16,-4
17,-4
18,-4
19,-6
20,-8
21,-8
22,-8
23,-8
24,-10
25,-10
26,-6
27,-6
28,-6
29,-6
30,-6
31,-6
32,-6
33,-4
34,-4
35,-4
36,-4
37,-4
38,-4
39,-2
40,-2
41,-1
42,-2
43,-2
44,-2
45,-2
46,-2
47,-2
48,-4
49,-2
50,-2
51,-2
52,-2
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,-4
80,-3
81,-3
82,-5
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,-1
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,-2
107,-2
108,-2
109,-2
110,-2
111,-2
112,-4
113,-4
114,-4
115,-4
116,-4
117,-6
118,-6
119,-6
120,-6
121,-4
122,-6
123,-5
124,-4
125,-6
126,-6
127,-7
128,-7
129,-7
130,-7
131,-9
132,-9
133,-9
134,-3
135,-4
136,-4
137,-4
138,-6
139,-8
140,-5
141,-4
142,-4
143,-4
144,-2
145,-2
146,-2
147,-2
148,-4
149,-2
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,-2
162,-4
163,-4
164,-2
165,-2
166,-2
167,-2
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,-3
